======================================================================
TAA-PINN TRAINING
======================================================================
Experiment: AS6
Description: 6cm Axisymmetric TAA — data-driven RANS with physics regularization
Geometry: AS6
Device: cuda
Output directory: experiments/AS6
Non-Newtonian viscosity: Carreau-Yasuda
  mu_inf=0.0035, mu_0=0.16, lambda=8.2, n=0.2128, a=0.64
Optimizer strategy: adaptive weights
----------------------------------------------------------------------
LOADING DATA (non-dimensional)
----------------------------------------------------------------------
  Non-dimensional reference scales:
    L_ref         = 0.0500 m
    U_ref         = 0.4373 m/s  (from max|p|=202.67 Pa)
    P_ref         = 202.67 Pa  (= rho * U_ref^2)
    tau_ref       = 0.030608 Pa  (= mu * U_ref / L_ref)
    Re            = 6621.4
    rho           = 1060.0 kg/m^3
    mu            = 0.003500 Pa.s
    coord_scale   = 1.3254  (normalises coords to [-1,1])
    wss_std       = 18.2155  (standardises WSS to O(1))
    pressure_std  = 0.4828  (standardises pressure to O(1))
Loading systolic: 6cm systolic.csv
Computing wall normals...
Sampling interior collocation points...
  Wall points: 24655
  Interior points: 6000
  Normals computed: torch.Size([24655, 3])
  Phase encoding: 1.0
Loading diastolic: 6cm diastolic.csv
Computing wall normals...
Sampling interior collocation points...
  Wall points: 24655
  Interior points: 6000
  Normals computed: torch.Size([24655, 3])
  Phase encoding: 0.0
  Inlet cross-section: 73 points, radius=10.0 mm
  Outlet cross-section: 73 points, radius=10.0 mm
  Axial direction: X
  Inlet velocity (physical): systolic=0.5 m/s, diastolic=0.1 m/s
Data loading complete!
----------------------------------------------------------------------
INITIALIZING NETWORKS
----------------------------------------------------------------------
  Net_u: 202,497 parameters
  Net_v: 202,497 parameters
  Net_w: 202,497 parameters
  Net_p: 202,497 parameters
  Net_nut: 35,457 parameters
  Total: 845,445 parameters
----------------------------------------------------------------------
INITIALIZING OPTIMIZERS
----------------------------------------------------------------------
Learning rate (flow): 0.0001
Learning rate (nut):  0.001 (10.0x)
Optimizer (flow): AdamW — 809,988 parameters
Optimizer (nut):  AdamW — 35,457 parameters
Scheduler: CosineAnnealingLR
Mixed precision (AMP): disabled
Initialization complete!
======================================================================
STARTING TRAINING
======================================================================
Total epochs: 10000
Evaluate interval: 1000
Save interval: 2500
Early stopping: patience=3000, min_delta=1e-06
Training:   0%|          | 0/10000 [00:00<?, ?epoch/s]/home/olarinoyem/miniconda3/envs/deep_tf/lib/python3.11/site-packages/torch/autograd/graph.py:825: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at ../aten/src/ATen/cuda/CublasHandlePool.cpp:135.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Training:   0%|          | 0/10000 [00:01<?, ?epoch/s, loss=1.278e+04, lr=0.0001]
Training:  11%|█▏        | 1142/10000 [37:37<5:24:29,  2.20s/epoch, loss=2.301, lr=9.7e-05]
Training:  11%|█▏        | 1143/10000 [37:37<5:24:34,  2.20s/epoch, loss=2.301, lr=9.7e-05]
Training:  11%|█▏        | 1143/10000 [37:40<5:24:34,  2.20s/epoch, loss=3.423, lr=9.7e-05]
Training:  11%|█▏        | 1144/10000 [37:40<5:24:07,  2.20s/epoch, loss=3.423, lr=9.7e-05]
Training:  11%|█▏        | 1144/10000 [37:42<5:24:07,  2.20s/epoch, loss=2.293, lr=9.7e-05]
Training:  11%|█▏        | 1145/10000 [37:42<5:26:12,  2.21s/epoch, loss=2.293, lr=9.7e-05]
Training:  11%|█▏        | 1145/10000 [37:44<5:26:12,  2.21s/epoch, loss=4.461, lr=9.7e-05]
Training:  11%|█▏        | 1146/10000 [37:44<5:25:20,  2.20s/epoch, loss=4.461, lr=9.7e-05]
Training:  11%|█▏        | 1146/10000 [37:46<5:25:20,  2.20s/epoch, loss=3.17, lr=9.7e-05] 
Training:  11%|█▏        | 1147/10000 [37:46<5:25:17,  2.20s/epoch, loss=3.17, lr=9.7e-05]
Training:  11%|█▏        | 1147/10000 [37:48<5:25:17,  2.20s/epoch, loss=4.142, lr=9.7e-05]
Training:  11%|█▏        | 1148/10000 [37:48<5:26:21,  2.21s/epoch, loss=4.142, lr=9.7e-05]
Training:  11%|█▏        | 1148/10000 [37:51<5:26:21,  2.21s/epoch, loss=3.182, lr=9.7e-05]
Training:  11%|█▏        | 1149/10000 [37:51<5:24:37,  2.20s/epoch, loss=3.182, lr=9.7e-05]
Training:  11%|█▏        | 1149/10000 [37:53<5:24:37,  2.20s/epoch, loss=2.786, lr=9.7e-05]
Training:  12%|█▏        | 1150/10000 [37:53<5:25:02,  2.20s/epoch, loss=2.786, lr=9.7e-05]
Training:  12%|█▏        | 1150/10000 [37:55<5:25:02,  2.20s/epoch, loss=2.656, lr=9.7e-05]
Training:  12%|█▏        | 1151/10000 [37:55<5:24:58,  2.20s/epoch, loss=2.656, lr=9.7e-05]
Training:  12%|█▏        | 1151/10000 [37:57<5:24:58,  2.20s/epoch, loss=3.493, lr=9.7e-05]
Training:  12%|█▏        | 1152/10000 [37:57<5:24:07,  2.20s/epoch, loss=3.493, lr=9.7e-05]
Training:  12%|█▏        | 1152/10000 [37:59<5:24:07,  2.20s/epoch, loss=2.989, lr=9.7e-05]
Training:  12%|█▏        | 1153/10000 [37:59<5:23:26,  2.19s/epoch, loss=2.989, lr=9.7e-05]
Training:  12%|█▏        | 1153/10000 [38:02<5:23:26,  2.19s/epoch, loss=3.087, lr=9.7e-05]
Training:  12%|█▏        | 1154/10000 [38:02<5:24:34,  2.20s/epoch, loss=3.087, lr=9.7e-05]
Training:  12%|█▏        | 1154/10000 [38:04<5:24:34,  2.20s/epoch, loss=3.241, lr=9.7e-05]
Training:  12%|█▏        | 1155/10000 [38:04<5:24:25,  2.20s/epoch, loss=3.241, lr=9.7e-05]
Training:  12%|█▏        | 1155/10000 [38:06<5:24:25,  2.20s/epoch, loss=2.595, lr=9.7e-05]
Training:  12%|█▏        | 1156/10000 [38:06<5:23:11,  2.19s/epoch, loss=2.595, lr=9.7e-05]
Training:  12%|█▏        | 1156/10000 [38:08<5:23:11,  2.19s/epoch, loss=3.295, lr=9.7e-05]
Training:  12%|█▏        | 1157/10000 [38:08<5:22:46,  2.19s/epoch, loss=3.295, lr=9.7e-05]
Training:  12%|█▏        | 1157/10000 [38:10<5:22:46,  2.19s/epoch, loss=2.174, lr=9.7e-05]
Training:  12%|█▏        | 1158/10000 [38:10<5:23:23,  2.19s/epoch, loss=2.174, lr=9.7e-05]
Training:  12%|█▏        | 1158/10000 [38:13<5:23:23,  2.19s/epoch, loss=2.953, lr=9.7e-05]
Training:  12%|█▏        | 1159/10000 [38:13<5:23:28,  2.20s/epoch, loss=2.953, lr=9.7e-05]
Training:  12%|█▏        | 1159/10000 [38:15<5:23:28,  2.20s/epoch, loss=2.959, lr=9.7e-05]
Training:  12%|█▏        | 1160/10000 [38:15<5:23:50,  2.20s/epoch, loss=2.959, lr=9.7e-05]
Training:  12%|█▏        | 1160/10000 [38:17<5:23:50,  2.20s/epoch, loss=2.31, lr=9.7e-05] 
Training:  12%|█▏        | 1161/10000 [38:17<5:25:07,  2.21s/epoch, loss=2.31, lr=9.7e-05]
Training:  12%|█▏        | 1161/10000 [38:19<5:25:07,  2.21s/epoch, loss=2.674, lr=9.7e-05]
Training:  12%|█▏        | 1162/10000 [38:19<5:23:52,  2.20s/epoch, loss=2.674, lr=9.7e-05]
Training:  12%|█▏        | 1162/10000 [38:21<5:23:52,  2.20s/epoch, loss=1.961, lr=9.7e-05]
Training:  12%|█▏        | 1163/10000 [38:21<5:23:57,  2.20s/epoch, loss=1.961, lr=9.7e-05]
Training:  12%|█▏        | 1163/10000 [38:24<5:23:57,  2.20s/epoch, loss=2.529, lr=9.7e-05]
Training:  12%|█▏        | 1164/10000 [38:24<5:24:29,  2.20s/epoch, loss=2.529, lr=9.7e-05]
Training:  12%|█▏        | 1164/10000 [38:26<5:24:29,  2.20s/epoch, loss=2.055, lr=9.7e-05]
Training:  12%|█▏        | 1165/10000 [38:26<5:23:18,  2.20s/epoch, loss=2.055, lr=9.7e-05]
Training:  12%|█▏        | 1165/10000 [38:28<5:23:18,  2.20s/epoch, loss=2.342, lr=9.7e-05]
Training:  12%|█▏        | 1166/10000 [38:28<5:23:20,  2.20s/epoch, loss=2.342, lr=9.7e-05]
Training:  12%|█▏        | 1166/10000 [38:30<5:23:20,  2.20s/epoch, loss=2.107, lr=9.7e-05]
Training:  12%|█▏        | 1167/10000 [38:30<5:23:40,  2.20s/epoch, loss=2.107, lr=9.7e-05]
Training:  12%|█▏        | 1167/10000 [38:32<5:23:40,  2.20s/epoch, loss=2.272, lr=9.7e-05]
Training:  12%|█▏        | 1168/10000 [38:32<5:24:14,  2.20s/epoch, loss=2.272, lr=9.7e-05]
Training:  12%|█▏        | 1168/10000 [38:35<5:24:14,  2.20s/epoch, loss=2.452, lr=9.7e-05]
Training:  12%|█▏        | 1169/10000 [38:35<5:24:31,  2.20s/epoch, loss=2.452, lr=9.7e-05]
Training:  12%|█▏        | 1169/10000 [38:37<5:24:31,  2.20s/epoch, loss=1.848, lr=9.7e-05]
Training:  12%|█▏        | 1170/10000 [38:37<5:32:40,  2.26s/epoch, loss=1.848, lr=9.7e-05]
Training:  12%|█▏        | 1170/10000 [38:39<5:32:40,  2.26s/epoch, loss=2.684, lr=9.7e-05]
Training:  12%|█▏        | 1171/10000 [38:39<5:31:17,  2.25s/epoch, loss=2.684, lr=9.7e-05]
Training:  12%|█▏        | 1171/10000 [38:41<5:31:17,  2.25s/epoch, loss=3.07, lr=9.7e-05] 
Training:  12%|█▏        | 1172/10000 [38:41<5:27:57,  2.23s/epoch, loss=3.07, lr=9.7e-05]
Training:  12%|█▏        | 1172/10000 [38:44<5:27:57,  2.23s/epoch, loss=2.476, lr=9.7e-05]
Training:  12%|█▏        | 1173/10000 [38:44<5:26:10,  2.22s/epoch, loss=2.476, lr=9.7e-05]
Training:  12%|█▏        | 1173/10000 [38:46<5:26:10,  2.22s/epoch, loss=4.207, lr=9.7e-05]
Training:  12%|█▏        | 1174/10000 [38:46<5:26:23,  2.22s/epoch, loss=4.207, lr=9.7e-05]
Training:  12%|█▏        | 1174/10000 [38:48<5:26:23,  2.22s/epoch, loss=3.744, lr=9.7e-05]
Training:  12%|█▏        | 1175/10000 [38:48<5:25:17,  2.21s/epoch, loss=3.744, lr=9.7e-05]
Training:  12%|█▏        | 1175/10000 [38:50<5:25:17,  2.21s/epoch, loss=2.886, lr=9.7e-05]
Training:  12%|█▏        | 1176/10000 [38:50<5:24:09,  2.20s/epoch, loss=2.886, lr=9.7e-05]
Training:  12%|█▏        | 1176/10000 [38:52<5:24:09,  2.20s/epoch, loss=3.723, lr=9.7e-05]
Training:  12%|█▏        | 1177/10000 [38:52<5:24:18,  2.21s/epoch, loss=3.723, lr=9.7e-05]
Training:  12%|█▏        | 1177/10000 [38:55<5:24:18,  2.21s/epoch, loss=2.608, lr=9.7e-05]
Training:  12%|█▏        | 1178/10000 [38:55<5:24:21,  2.21s/epoch, loss=2.608, lr=9.7e-05]
Training:  12%|█▏        | 1178/10000 [38:57<5:24:21,  2.21s/epoch, loss=2.997, lr=9.7e-05]
Training:  12%|█▏        | 1179/10000 [38:57<5:24:37,  2.21s/epoch, loss=2.997, lr=9.7e-05]
Training:  12%|█▏        | 1179/10000 [38:59<5:24:37,  2.21s/epoch, loss=3.179, lr=9.7e-05]
Training:  12%|█▏        | 1180/10000 [38:59<5:24:31,  2.21s/epoch, loss=3.179, lr=9.7e-05]
Training:  12%|█▏        | 1180/10000 [39:01<5:24:31,  2.21s/epoch, loss=3.008, lr=9.7e-05]
Training:  12%|█▏        | 1181/10000 [39:01<5:24:03,  2.20s/epoch, loss=3.008, lr=9.7e-05]
Training:  12%|█▏        | 1181/10000 [39:03<5:24:03,  2.20s/epoch, loss=3.207, lr=9.7e-05]
Training:  12%|█▏        | 1182/10000 [39:03<5:23:24,  2.20s/epoch, loss=3.207, lr=9.7e-05]
Training:  12%|█▏        | 1182/10000 [39:06<5:23:24,  2.20s/epoch, loss=2.613, lr=9.7e-05]
Training:  12%|█▏        | 1183/10000 [39:06<5:22:20,  2.19s/epoch, loss=2.613, lr=9.7e-05]
Training:  12%|█▏        | 1183/10000 [39:08<5:22:20,  2.19s/epoch, loss=2.994, lr=9.7e-05]
Training:  12%|█▏        | 1184/10000 [39:08<5:23:07,  2.20s/epoch, loss=2.994, lr=9.7e-05]
Training:  12%|█▏        | 1184/10000 [39:10<5:23:07,  2.20s/epoch, loss=2.362, lr=9.7e-05]
Training:  12%|█▏        | 1185/10000 [39:10<5:22:05,  2.19s/epoch, loss=2.362, lr=9.7e-05]
Training:  12%|█▏        | 1185/10000 [39:12<5:22:05,  2.19s/epoch, loss=2.598, lr=9.7e-05]
Training:  12%|█▏        | 1186/10000 [39:12<5:23:05,  2.20s/epoch, loss=2.598, lr=9.7e-05]
Training:  12%|█▏        | 1186/10000 [39:14<5:23:05,  2.20s/epoch, loss=2.699, lr=9.7e-05]
Training:  12%|█▏        | 1187/10000 [39:14<5:23:36,  2.20s/epoch, loss=2.699, lr=9.7e-05]
Training:  12%|█▏        | 1187/10000 [39:17<5:23:36,  2.20s/epoch, loss=2.376, lr=9.7e-05]
Training:  12%|█▏        | 1188/10000 [39:17<5:22:56,  2.20s/epoch, loss=2.376, lr=9.7e-05]
Training:  12%|█▏        | 1188/10000 [39:19<5:22:56,  2.20s/epoch, loss=3.347, lr=9.7e-05]
Training:  12%|█▏        | 1189/10000 [39:19<5:22:36,  2.20s/epoch, loss=3.347, lr=9.7e-05]
Training:  12%|█▏        | 1189/10000 [39:21<5:22:36,  2.20s/epoch, loss=2.658, lr=9.7e-05]
Training:  12%|█▏        | 1190/10000 [39:21<5:23:32,  2.20s/epoch, loss=2.658, lr=9.7e-05]
Training:  12%|█▏        | 1190/10000 [39:23<5:23:32,  2.20s/epoch, loss=3.32, lr=9.7e-05] 
Training:  12%|█▏        | 1191/10000 [39:23<5:22:20,  2.20s/epoch, loss=3.32, lr=9.7e-05]
Training:  12%|█▏        | 1191/10000 [39:25<5:22:20,  2.20s/epoch, loss=2.939, lr=9.7e-05]
Training:  12%|█▏        | 1192/10000 [39:25<5:22:32,  2.20s/epoch, loss=2.939, lr=9.7e-05]
Training:  12%|█▏        | 1192/10000 [39:28<5:22:32,  2.20s/epoch, loss=2.652, lr=9.7e-05]
Training:  12%|█▏        | 1193/10000 [39:28<5:23:40,  2.21s/epoch, loss=2.652, lr=9.7e-05]
Training:  12%|█▏        | 1193/10000 [39:30<5:23:40,  2.21s/epoch, loss=2.759, lr=9.7e-05]
Training:  12%|█▏        | 1194/10000 [39:30<5:22:19,  2.20s/epoch, loss=2.759, lr=9.7e-05]
Training:  12%|█▏        | 1194/10000 [39:32<5:22:19,  2.20s/epoch, loss=2.03, lr=9.7e-05] 
Training:  12%|█▏        | 1195/10000 [39:32<5:22:05,  2.19s/epoch, loss=2.03, lr=9.7e-05]
Training:  12%|█▏        | 1195/10000 [39:34<5:22:05,  2.19s/epoch, loss=3.118, lr=9.7e-05]
Training:  12%|█▏        | 1196/10000 [39:34<5:21:36,  2.19s/epoch, loss=3.118, lr=9.7e-05]
Training:  12%|█▏        | 1196/10000 [39:36<5:21:36,  2.19s/epoch, loss=3.221, lr=9.7e-05]
Training:  12%|█▏        | 1197/10000 [39:36<5:22:19,  2.20s/epoch, loss=3.221, lr=9.7e-05]
Training:  12%|█▏        | 1197/10000 [39:39<5:22:19,  2.20s/epoch, loss=3.151, lr=9.7e-05]
Training:  12%|█▏        | 1198/10000 [39:39<5:21:12,  2.19s/epoch, loss=3.151, lr=9.7e-05]
Training:  12%|█▏        | 1198/10000 [39:41<5:21:12,  2.19s/epoch, loss=2.594, lr=9.7e-05]
Training:  12%|█▏        | 1199/10000 [39:41<5:22:02,  2.20s/epoch, loss=2.594, lr=9.7e-05]
Training:  12%|█▏        | 1199/10000 [39:43<5:22:02,  2.20s/epoch, loss=2.771, lr=9.7e-05]
Training:  12%|█▏        | 1200/10000 [39:43<5:22:31,  2.20s/epoch, loss=2.771, lr=9.7e-05]
Training:  12%|█▏        | 1200/10000 [39:45<5:22:31,  2.20s/epoch, loss=2.218, lr=9.7e-05]
Training:  12%|█▏        | 1201/10000 [39:45<5:21:46,  2.19s/epoch, loss=2.218, lr=9.7e-05]
Training:  12%|█▏        | 1201/10000 [39:47<5:21:46,  2.19s/epoch, loss=2.333, lr=9.7e-05]
Training:  12%|█▏        | 1202/10000 [39:47<5:21:28,  2.19s/epoch, loss=2.333, lr=9.7e-05]
Training:  12%|█▏        | 1202/10000 [39:50<5:21:28,  2.19s/epoch, loss=2.782, lr=9.7e-05]
Training:  12%|█▏        | 1203/10000 [39:50<5:21:25,  2.19s/epoch, loss=2.782, lr=9.7e-05]
Training:  12%|█▏        | 1203/10000 [39:52<5:21:25,  2.19s/epoch, loss=2.114, lr=9.7e-05]
Training:  12%|█▏        | 1204/10000 [39:52<5:21:15,  2.19s/epoch, loss=2.114, lr=9.7e-05]
Training:  12%|█▏        | 1204/10000 [39:54<5:21:15,  2.19s/epoch, loss=2.898, lr=9.6e-05]
Training:  12%|█▏        | 1205/10000 [39:54<5:21:16,  2.19s/epoch, loss=2.898, lr=9.6e-05]
Training:  12%|█▏        | 1205/10000 [39:56<5:21:16,  2.19s/epoch, loss=2.462, lr=9.6e-05]
Training:  12%|█▏        | 1206/10000 [39:56<5:21:27,  2.19s/epoch, loss=2.462, lr=9.6e-05]
Training:  12%|█▏        | 1206/10000 [39:58<5:21:27,  2.19s/epoch, loss=2.761, lr=9.6e-05]
Training:  12%|█▏        | 1207/10000 [39:58<5:21:27,  2.19s/epoch, loss=2.761, lr=9.6e-05]
Training:  12%|█▏        | 1207/10000 [40:00<5:21:27,  2.19s/epoch, loss=2.414, lr=9.6e-05]
Training:  12%|█▏        | 1208/10000 [40:00<5:21:12,  2.19s/epoch, loss=2.414, lr=9.6e-05]
Training:  12%|█▏        | 1208/10000 [40:03<5:21:12,  2.19s/epoch, loss=3.816, lr=9.6e-05]
Training:  12%|█▏        | 1209/10000 [40:03<5:20:42,  2.19s/epoch, loss=3.816, lr=9.6e-05]
Training:  12%|█▏        | 1209/10000 [40:05<5:20:42,  2.19s/epoch, loss=2.987, lr=9.6e-05]
Training:  12%|█▏        | 1210/10000 [40:05<5:21:00,  2.19s/epoch, loss=2.987, lr=9.6e-05]
Training:  12%|█▏        | 1210/10000 [40:07<5:21:00,  2.19s/epoch, loss=4.043, lr=9.6e-05]
Training:  12%|█▏        | 1211/10000 [40:07<5:21:19,  2.19s/epoch, loss=4.043, lr=9.6e-05]
Training:  12%|█▏        | 1211/10000 [40:09<5:21:19,  2.19s/epoch, loss=2.441, lr=9.6e-05]
Training:  12%|█▏        | 1212/10000 [40:09<5:21:19,  2.19s/epoch, loss=2.441, lr=9.6e-05]
Training:  12%|█▏        | 1212/10000 [40:11<5:21:19,  2.19s/epoch, loss=3.407, lr=9.6e-05]
Training:  12%|█▏        | 1213/10000 [40:11<5:22:36,  2.20s/epoch, loss=3.407, lr=9.6e-05]
Training:  12%|█▏        | 1213/10000 [40:14<5:22:36,  2.20s/epoch, loss=2.104, lr=9.6e-05]
Training:  12%|█▏        | 1214/10000 [40:14<5:21:30,  2.20s/epoch, loss=2.104, lr=9.6e-05]
Training:  12%|█▏        | 1214/10000 [40:16<5:21:30,  2.20s/epoch, loss=5.463, lr=9.6e-05]
Training:  12%|█▏        | 1215/10000 [40:16<5:21:23,  2.20s/epoch, loss=5.463, lr=9.6e-05]
Training:  12%|█▏        | 1215/10000 [40:18<5:21:23,  2.20s/epoch, loss=4.957, lr=9.6e-05]
Training:  12%|█▏        | 1216/10000 [40:18<5:21:50,  2.20s/epoch, loss=4.957, lr=9.6e-05]
Training:  12%|█▏        | 1216/10000 [40:20<5:21:50,  2.20s/epoch, loss=2.984, lr=9.6e-05]
Training:  12%|█▏        | 1217/10000 [40:20<5:21:07,  2.19s/epoch, loss=2.984, lr=9.6e-05]
Training:  12%|█▏        | 1217/10000 [40:22<5:21:07,  2.19s/epoch, loss=3.465, lr=9.6e-05]
Training:  12%|█▏        | 1218/10000 [40:22<5:20:00,  2.19s/epoch, loss=3.465, lr=9.6e-05]
Training:  12%|█▏        | 1218/10000 [40:25<5:20:00,  2.19s/epoch, loss=2.471, lr=9.6e-05]
Training:  12%|█▏        | 1219/10000 [40:25<5:20:49,  2.19s/epoch, loss=2.471, lr=9.6e-05]
Training:  12%|█▏        | 1219/10000 [40:27<5:20:49,  2.19s/epoch, loss=2.673, lr=9.6e-05]
Training:  12%|█▏        | 1220/10000 [40:27<5:21:02,  2.19s/epoch, loss=2.673, lr=9.6e-05]
Training:  12%|█▏        | 1220/10000 [40:29<5:21:02,  2.19s/epoch, loss=2.446, lr=9.6e-05]
Training:  12%|█▏        | 1221/10000 [40:29<5:20:09,  2.19s/epoch, loss=2.446, lr=9.6e-05]
Training:  12%|█▏        | 1221/10000 [40:31<5:20:09,  2.19s/epoch, loss=2.832, lr=9.6e-05]
Training:  12%|█▏        | 1222/10000 [40:31<5:20:03,  2.19s/epoch, loss=2.832, lr=9.6e-05]
Training:  12%|█▏        | 1222/10000 [40:33<5:20:03,  2.19s/epoch, loss=2.71, lr=9.6e-05] 
Training:  12%|█▏        | 1223/10000 [40:33<5:20:23,  2.19s/epoch, loss=2.71, lr=9.6e-05]
Training:  12%|█▏        | 1223/10000 [40:36<5:20:23,  2.19s/epoch, loss=3.17, lr=9.6e-05]
Training:  12%|█▏        | 1224/10000 [40:36<5:21:17,  2.20s/epoch, loss=3.17, lr=9.6e-05]
Training:  12%|█▏        | 1224/10000 [40:38<5:21:17,  2.20s/epoch, loss=2.496, lr=9.6e-05]
Training:  12%|█▏        | 1225/10000 [40:38<5:20:19,  2.19s/epoch, loss=2.496, lr=9.6e-05]
Training:  12%|█▏        | 1225/10000 [40:40<5:20:19,  2.19s/epoch, loss=3.293, lr=9.6e-05]
Training:  12%|█▏        | 1226/10000 [40:40<5:20:43,  2.19s/epoch, loss=3.293, lr=9.6e-05]
Training:  12%|█▏        | 1226/10000 [40:42<5:20:43,  2.19s/epoch, loss=2.548, lr=9.6e-05]
Training:  12%|█▏        | 1227/10000 [40:42<5:21:23,  2.20s/epoch, loss=2.548, lr=9.6e-05]
Training:  12%|█▏        | 1227/10000 [40:44<5:21:23,  2.20s/epoch, loss=3.269, lr=9.6e-05]
Training:  12%|█▏        | 1228/10000 [40:44<5:20:10,  2.19s/epoch, loss=3.269, lr=9.6e-05]
Training:  12%|█▏        | 1228/10000 [40:46<5:20:10,  2.19s/epoch, loss=2.19, lr=9.6e-05] 
Training:  12%|█▏        | 1229/10000 [40:46<5:19:27,  2.19s/epoch, loss=2.19, lr=9.6e-05]
Training:  12%|█▏        | 1229/10000 [40:49<5:19:27,  2.19s/epoch, loss=2.985, lr=9.6e-05]
Training:  12%|█▏        | 1230/10000 [40:49<5:19:30,  2.19s/epoch, loss=2.985, lr=9.6e-05]
Training:  12%|█▏        | 1230/10000 [40:51<5:19:30,  2.19s/epoch, loss=2.238, lr=9.6e-05]
Training:  12%|█▏        | 1231/10000 [40:51<5:20:08,  2.19s/epoch, loss=2.238, lr=9.6e-05]
Training:  12%|█▏        | 1231/10000 [40:53<5:20:08,  2.19s/epoch, loss=2.66, lr=9.6e-05] 
Training:  12%|█▏        | 1232/10000 [40:53<5:19:28,  2.19s/epoch, loss=2.66, lr=9.6e-05]
Training:  12%|█▏        | 1232/10000 [40:55<5:19:28,  2.19s/epoch, loss=2.213, lr=9.6e-05]
Training:  12%|█▏        | 1233/10000 [40:55<5:19:54,  2.19s/epoch, loss=2.213, lr=9.6e-05]
Training:  12%|█▏        | 1233/10000 [40:57<5:19:54,  2.19s/epoch, loss=2.724, lr=9.6e-05]
Training:  12%|█▏        | 1234/10000 [40:57<5:21:14,  2.20s/epoch, loss=2.724, lr=9.6e-05]
Training:  12%|█▏        | 1234/10000 [41:00<5:21:14,  2.20s/epoch, loss=2.494, lr=9.6e-05]
Training:  12%|█▏        | 1235/10000 [41:00<5:20:48,  2.20s/epoch, loss=2.494, lr=9.6e-05]
Training:  12%|█▏        | 1235/10000 [41:02<5:20:48,  2.20s/epoch, loss=2.934, lr=9.6e-05]
Training:  12%|█▏        | 1236/10000 [41:02<5:19:42,  2.19s/epoch, loss=2.934, lr=9.6e-05]
Training:  12%|█▏        | 1236/10000 [41:04<5:19:42,  2.19s/epoch, loss=2.173, lr=9.6e-05]
Training:  12%|█▏        | 1237/10000 [41:04<5:19:35,  2.19s/epoch, loss=2.173, lr=9.6e-05]
Training:  12%|█▏        | 1237/10000 [41:06<5:19:35,  2.19s/epoch, loss=3.54, lr=9.6e-05] 
Training:  12%|█▏        | 1238/10000 [41:06<5:18:57,  2.18s/epoch, loss=3.54, lr=9.6e-05]
Training:  12%|█▏        | 1238/10000 [41:08<5:18:57,  2.18s/epoch, loss=3.14, lr=9.6e-05]
Training:  12%|█▏        | 1239/10000 [41:08<5:19:18,  2.19s/epoch, loss=3.14, lr=9.6e-05]
Training:  12%|█▏        | 1239/10000 [41:11<5:19:18,  2.19s/epoch, loss=2.225, lr=9.6e-05]
Training:  12%|█▏        | 1240/10000 [41:11<5:18:50,  2.18s/epoch, loss=2.225, lr=9.6e-05]
Training:  12%|█▏        | 1240/10000 [41:13<5:18:50,  2.18s/epoch, loss=2.843, lr=9.6e-05]
Training:  12%|█▏        | 1241/10000 [41:13<5:19:04,  2.19s/epoch, loss=2.843, lr=9.6e-05]
Training:  12%|█▏        | 1241/10000 [41:15<5:19:04,  2.19s/epoch, loss=2.399, lr=9.6e-05]
Training:  12%|█▏        | 1242/10000 [41:15<5:18:52,  2.18s/epoch, loss=2.399, lr=9.6e-05]
Training:  12%|█▏        | 1242/10000 [41:17<5:18:52,  2.18s/epoch, loss=2.602, lr=9.6e-05]
Training:  12%|█▏        | 1243/10000 [41:17<5:18:49,  2.18s/epoch, loss=2.602, lr=9.6e-05]
Training:  12%|█▏        | 1243/10000 [41:19<5:18:49,  2.18s/epoch, loss=2.298, lr=9.6e-05]
Training:  12%|█▏        | 1244/10000 [41:19<5:18:46,  2.18s/epoch, loss=2.298, lr=9.6e-05]
Training:  12%|█▏        | 1244/10000 [41:21<5:18:46,  2.18s/epoch, loss=3.848, lr=9.6e-05]
Training:  12%|█▏        | 1245/10000 [41:21<5:18:20,  2.18s/epoch, loss=3.848, lr=9.6e-05]
Training:  12%|█▏        | 1245/10000 [41:24<5:18:20,  2.18s/epoch, loss=2.371, lr=9.6e-05]
Training:  12%|█▏        | 1246/10000 [41:24<5:19:45,  2.19s/epoch, loss=2.371, lr=9.6e-05]
Training:  12%|█▏        | 1246/10000 [41:26<5:19:45,  2.19s/epoch, loss=3.796, lr=9.6e-05]
Training:  12%|█▏        | 1247/10000 [41:26<5:18:58,  2.19s/epoch, loss=3.796, lr=9.6e-05]
Training:  12%|█▏        | 1247/10000 [41:28<5:18:58,  2.19s/epoch, loss=3.101, lr=9.6e-05]
Training:  12%|█▏        | 1248/10000 [41:28<5:20:36,  2.20s/epoch, loss=3.101, lr=9.6e-05]
Training:  12%|█▏        | 1248/10000 [41:30<5:20:36,  2.20s/epoch, loss=2.813, lr=9.6e-05]
Training:  12%|█▏        | 1249/10000 [41:30<5:20:07,  2.19s/epoch, loss=2.813, lr=9.6e-05]
Training:  12%|█▏        | 1249/10000 [41:32<5:20:07,  2.19s/epoch, loss=2.633, lr=9.6e-05]
Training:  12%|█▎        | 1250/10000 [41:32<5:19:40,  2.19s/epoch, loss=2.633, lr=9.6e-05]
Training:  12%|█▎        | 1250/10000 [41:35<5:19:40,  2.19s/epoch, loss=2.339, lr=9.6e-05]
